Day,Interpolated_T0
0,-1.422399806042752
1,-1.423893850753163
2,-1.4253878954635744
3,-1.4268819401739854
4,-1.4283759848843964
5,-1.4298754713994664
6,-1.4313749579145365
7,-1.4328744444296064
8,-1.4343739309446766
9,-1.4358734174597465
10,-1.4373791382944057
11,-1.4388848591290648
12,-1.4403905799637242
13,-1.4418963007983834
14,-1.4434020216330425
15,-1.4449202890336774
16,-1.4464385564343123
17,-1.4479568238349472
18,-1.449475091235582
19,-1.4509933586362167
20,-1.4525116260368516
21,-1.4540298934374865
22,-1.4555481608381213
23,-1.4570664282387562
24,-1.458584695639391
25,-1.460102963040026
26,-1.4616212304406608
27,-1.4631394978412957
28,-1.4646577652419304
29,-1.4661760326425652
30,-1.4676943000432001
31,-1.469212567443835
32,-1.4707308348444699
33,-1.4722555666095938
34,-1.4737802983747177
35,-1.4753050301398414
36,-1.4768297619049653
37,-1.4783544936700892
38,-1.4798795881013607
39,-1.4814046825326321
40,-1.4829297769639036
41,-1.484454871395175
42,-1.4859799658264465
43,-1.4875047470332277
44,-1.4890295282400088
45,-1.4905543094467897
46,-1.4920790906535708
47,-1.493603871860352
48,-1.495128653067133
49,-1.496653434273914
50,-1.498178215480695
51,-1.4997029966874762
52,-1.5012277778942573
53,-1.5027525591010384
54,-1.5042773403078193
55,-1.5058021215146005
56,-1.5073269027213816
57,-1.5088516839281627
58,-1.5103764651349436
59,-1.5119012463417247
60,-1.5134260275485059
61,-1.5149519876133828
62,-1.5164779476782597
63,-1.5180039077431366
64,-1.5195298678080136
65,-1.5210558278728905
66,-1.5225862772648084
67,-1.5241167266567264
68,-1.5256471760486443
69,-1.5271776254405622
70,-1.5287080748324802
71,-1.5302659658455646
72,-1.5318238568586493
73,-1.5333817478717338
74,-1.5349396388848184
75,-1.536497529897903
76,-1.5380554209109876
77,-1.539613311924072
78,-1.5411712029371567
79,-1.5427290939502412
80,-1.5442869849633258
81,-1.5458448759764103
82,-1.547402766989495
83,-1.5489606580025794
84,-1.550518549015664
85,-1.5520764400287486
86,-1.5536343310418332
87,-1.5551922220549177
88,-1.5567501130680024
89,-1.5583667332404916
90,-1.5599833534129808
91,-1.56159997358547
92,-1.5632165937579592
93,-1.5648332139304484
94,-1.5665001938964138
95,-1.5681671738623792
96,-1.5698341538283445
97,-1.57150113379431
98,-1.5731681137602753
99,-1.5745979315298038
100,-1.5760277492993322
101,-1.5774575670688606
102,-1.578887384838389
103,-1.5803172026079175
104,-1.581747020377446
105,-1.5831768381469744
106,-1.5846066559165028
107,-1.5860364736860313
108,-1.5874662914555595
109,-1.588896109225088
110,-1.5903259269946164
111,-1.5917557447641448
112,-1.5931855625336733
113,-1.5946153803032017
114,-1.5960451980727302
115,-1.5974750158422586
116,-1.598904833611787
117,-1.600090230432972
118,-1.6012756272541568
119,-1.6024610240753419
120,-1.6036464208965266
121,-1.6048318177177117
122,-1.6053527019447769
123,-1.6058735861718418
124,-1.606394470398907
125,-1.6069153546259722
126,-1.6074362388530372
127,-1.6079571230801024
128,-1.6084780073071676
129,-1.6089988915342328
130,-1.6095197757612978
131,-1.610040659988363
132,-1.6105615442154282
133,-1.6110824284424932
134,-1.6116033126695584
135,-1.6121241968966236
136,-1.6126450811236885
137,-1.6131659653507537
138,-1.613686849577819
139,-1.6142077338048841
140,-1.6147286180319491
141,-1.6152495022590143
142,-1.6157703864860795
143,-1.6162912707131445
144,-1.6168121549402097
145,-1.617421738808999
146,-1.6180313226777885
147,-1.6186409065465777
148,-1.619250490415367
149,-1.6198600742841565
150,-1.6152490891992377
151,-1.6106381041143192
152,-1.6060271190294004
153,-1.6014161339444817
154,-1.596805148859563
155,-1.5921941637746444
156,-1.5875831786897256
157,-1.582972193604807
158,-1.5783612085198881
159,-1.5737502234349696
160,-1.5691392383500509
161,-1.5645282532651321
162,-1.5599172681802134
163,-1.5553062830952948
164,-1.550695298010376
165,-1.5460843129254573
166,-1.5414733278405386
167,-1.53686234275562
168,-1.5322513576707013
169,-1.5276403725857826
170,-1.5230293875008638
171,-1.5184184024159453
172,-1.5138074173310265
173,-1.511486579313145
174,-1.5091657412952633
175,-1.5068449032773814
176,-1.5045240652594998
177,-1.5022032272416181
178,-1.4867661018849225
179,-1.4713289765282271
180,-1.4558918511715315
181,-1.4404547258148361
182,-1.4250176004581405
183,-1.409580475101445
184,-1.3941433497447495
185,-1.378706224388054
186,-1.3632690990313585
187,-1.347831973674663
188,-1.3323948483179673
189,-1.316957722961272
190,-1.3015205976045763
191,-1.2860834722478809
192,-1.2706463468911853
193,-1.2552092215344897
194,-1.2397720961777943
195,-1.2243349708210987
196,-1.2088978454644033
197,-1.1934607201077077
198,-1.1609577180892456
199,-1.1284547160707838
200,-1.0959517140523218
201,-1.0789889557226149
202,-1.0620261973929082
203,-1.0450634390632012
204,-1.0281006807334943
205,-1.0107878475800447
206,-0.9910926250642481
207,-0.9681729123795684
208,-0.9482794389860542
209,-0.9535971555029006
210,-0.9819000459364865
211,-1.0083918287034985
212,-1.0448956698967635
213,-1.0803093697192163
214,-1.1254932470452117
215,-1.1684742975018323
216,-1.207075972418214
217,-1.2388633675240135
218,-1.2610118219103574
219,-1.27260710064591
220,-1.2750985947221245
221,-1.2707192786078438
222,-1.2603601335455563
223,-1.2439383594491968
224,-1.221310260426115
225,-1.1928565515967227
226,-1.1592174932716892
227,-1.1226134300386748
228,-1.0859464643139336
229,-1.0509561876262468
230,-1.0191409922641306
231,-0.99147469877005
232,-0.9685868451752326
233,-0.9502939130057328
234,-0.9350259641299978
235,-0.9206464394975465
236,-0.9062111810953405
237,-0.892650465728105
238,-0.8815658989648405
239,-0.8732787118300421
240,-0.8657619685076197
241,-0.8562805124848099
242,-0.8433052526363523
243,-0.8259983953859175
244,-0.8040525364775105
245,-0.7776094067479838
246,-0.7476918007161223
247,-0.7160883634515541
248,-0.6847122823670743
249,-0.6551346751839395
250,-0.6278481904338277
251,-0.6022922539794803
252,-0.5777770143880223
253,-0.5544492713230762
254,-0.5321909292723376
255,-0.5102928048269113
256,-0.4886692180591717
257,-0.4676106506492112
258,-0.44822886878715185
259,-0.4319207506071393
260,-0.4189830682122413
261,-0.4077686399822192
262,-0.3953307825696916
263,-0.3800452544226992
264,-0.3628511068197395
265,-0.3469368730995055
266,-0.3364163688358346
267,-0.33498706102837683
268,-0.3434489296027154
269,-0.3608075101138529
270,-0.38415607805920937
271,-0.40989442938461695
272,-0.4357436329225185
273,-0.46063831180221565
274,-0.4841161142191581
275,-0.5067596587134626
276,-0.530774325619006
277,-0.5567781164082525
278,-0.5831544512802214
279,-0.60819605093479
280,-0.6314174880913704
281,-0.6529648493404756
282,-0.6733075262549435
283,-0.69448544274674
284,-0.7189071388486898
285,-0.7466303800364613
286,-0.7756871267394548
287,-0.8045120523956809
288,-0.832132677435651
289,-0.8581579884972824
290,-0.8823171004760849
291,-0.9039981045776301
292,-0.9236011992968859
293,-0.9382417994055076
294,-0.9554582186972639
295,-0.9678903697636966
296,-0.9799066016902473
297,-0.9892846399181934
298,-0.9991647408555699
299,-1.009543736517517
300,-1.0195241300441416
301,-1.0297600901979302
302,-1.0417323031414774
303,-1.0537045160850245
304,-1.0656767290285716
305,-1.0787901933139104
306,-1.0919036575992491
307,-1.1050171218845881
308,-1.1181305861699269
309,-1.1329862594833962
310,-1.1478419327968652
311,-1.1626976061103345
312,-1.1775532794238037
313,-1.1924089527372728
314,-1.207264626050742
315,-1.2231669226453175
316,-1.237358772372358
317,-1.2533278644218209
318,-1.2687038972320386
319,-1.2840799300422565
320,-1.2994559628524742
321,-1.3139526563983928
322,-1.3284493499443113
323,-1.340723706186946
324,-1.3518234906579125
325,-1.3629232751288793
326,-1.374023059599846
327,-1.3837365995563922
328,-1.3934501395129384
329,-1.4031636794694846
330,-1.4126090914964837
331,-1.4190441244468384
332,-1.4254791573971932
333,-1.4319141903475479
334,-1.4383492232979025
335,-1.4447842562482573
336,-1.451219289198612
337,-1.4557707252026355
338,-1.4603221612066593
339,-1.4648735972106828
340,-1.4694250332147063
341,-1.4739764692187298
342,-1.4785279052227536
343,-1.483079341226777
344,-1.4878777303687123
345,-1.4926500126781121
346,-1.4974222949875122
347,-1.502194577296912
348,-1.506966859606312
349,-1.511739141915712
350,-1.5165114242251119
351,-1.52110796792427
352,-1.525704511623428
353,-1.5303010553225862
354,-1.5348975990217442
355,-1.5393191666292485
356,-1.543740734236753
357,-1.5481623018442574
358,-1.552464960617978
359,-1.556544126922581
360,-1.5606232932271842
361,-1.5647024595317873
362,-1.5687816258363905
363,-1.5728607921409936
364,-1.5769399584455968
